SPOP	OMIM:618828
SPOP	OMIM:618829
ABCD1	ORPHA:139396
ABCD1	ORPHA:388
ABCD1	ORPHA:139399
ABCD1	OMIM:300100
C1QTNF5	ORPHA:67042
C1QTNF5	OMIM:605670
IFT80	OMIM:611263
IFT80	ORPHA:474
IFT80	ORPHA:93271
ALDH2	OMIM:610251
CEP126	ORPHA:65684
ALDH1A3	ORPHA:35612
ALDH1A3	OMIM:615113
ALDH3A2	ORPHA:816
ALDH3A2	OMIM:270200
ALDOA	ORPHA:57
ALDOA	OMIM:611881
TRMT5	OMIM:616539
BFSP2	OMIM:611597
DOCK6	ORPHA:974
DOCK6	OMIM:614219
ALDOB	ORPHA:469
ALDOB	OMIM:229600
LTBP4	ORPHA:98896
LTBP4	OMIM:613177
RSPH9	OMIM:612650
RSPH9	ORPHA:244
KCNT1	OMIM:615005
KCNT1	ORPHA:98784
KCNT1	OMIM:614959
ALK	ORPHA:635
NR0B2	OMIM:601665
ALOX5	OMIM:600807
GPRASP2	OMIM:301018
ALOX5AP	OMIM:601367
ALOX12B	ORPHA:79394
ALOX12B	ORPHA:281122
ALOX12B	OMIM:242100
ALOX12B	ORPHA:313
RIC1	OMIM:618761
RAD54L	OMIM:605027
RAD54L	OMIM:114480
MRTFA	OMIM:618847
ZNF687	OMIM:616833
ALPL	OMIM:241500
ALPL	OMIM:146300
ALPL	OMIM:241510
GNPAT	OMIM:222765
WDR48	ORPHA:401800
DHX16	OMIM:618733
ALX3	OMIM:136760
ALX3	ORPHA:391474
CUL4B	OMIM:300354
CUL4B	ORPHA:85293
AMBN	OMIM:616270
CUL3	OMIM:614496
CUL3	OMIM:619239
FOXN1	OMIM:601705
FOXN1	ORPHA:169095
FOXN1	OMIM:618806
DIP2B	OMIM:136630
AMELX	OMIM:301200
AMH	OMIM:261550
AMH	ORPHA:2856
AMHR2	OMIM:261550
AMHR2	ORPHA:2856
KLF11	OMIM:610508
KLF11	ORPHA:552
AMPD1	OMIM:615511
AMPD1	ORPHA:45
AMPD2	OMIM:615809
AMPD2	OMIM:615686
AMPD2	ORPHA:401805
AMPD3	ORPHA:45
BIN1	OMIM:255200
BIN1	ORPHA:169189
BIN1	ORPHA:169186
AMT	OMIM:605899
FKBP6	OMIM:620103
FKBP6	ORPHA:904
IRS4	OMIM:301035
ZFAT	OMIM:608175
OGT	OMIM:300997
ANG	OMIM:611895
ANG	ORPHA:803
ANGPT1	OMIM:619361
ANGPT2	OMIM:619369
ANK1	OMIM:182900
ANK1	ORPHA:251066
ANK1	ORPHA:822
ANK2	OMIM:600919
ANK2	ORPHA:101016
ANK3	ORPHA:356996
ANK3	OMIM:615493
OFD1	OMIM:300424
OFD1	ORPHA:791
OFD1	OMIM:311200
OFD1	ORPHA:2754
OFD1	OMIM:300209
OFD1	OMIM:300804
OFD1	ORPHA:244
OFD1	ORPHA:2750
SEMA7A	OMIM:619874
SLC25A4	ORPHA:254892
SLC25A4	OMIM:615418
SLC25A4	OMIM:609283
SLC25A4	ORPHA:1369
SLC25A4	OMIM:617184
MCFD2	ORPHA:35909
MCFD2	OMIM:613625
PRSS12	OMIM:249500
PPM1D	OMIM:114480
PPM1D	OMIM:617450
DHX37	ORPHA:242
DHX37	OMIM:618731
DHX37	ORPHA:983
DHX37	OMIM:273250
DHX37	ORPHA:251510
KNSTRN	ORPHA:221139
KNSTRN	OMIM:613328
PPFIBP1	OMIM:620024
CCDC32	OMIM:619123
KLHL40	ORPHA:171430
KLHL40	OMIM:615348
ANXA5	OMIM:614391
UVSSA	OMIM:614640
ANXA11	OMIM:617839
ANXA11	OMIM:619733
ANXA11	ORPHA:803
PEX3	OMIM:617370
PEX3	OMIM:614882
PEX3	ORPHA:44
PEX3	ORPHA:772
PEX3	ORPHA:912
CNTNAP1	OMIM:618186
CNTNAP1	OMIM:616286
CNTNAP1	ORPHA:2680
LEMD2	OMIM:212500
LEMD2	OMIM:619322
NUDT2	OMIM:619844
MMP23B	ORPHA:1606
KCNAB2	ORPHA:1606
APC	OMIM:175100
APC	OMIM:114500
APC	ORPHA:247806
APC	ORPHA:79665
APC	OMIM:135290
APC	ORPHA:873
APC	OMIM:114550
APC	OMIM:619182
APC	OMIM:613659
APC	ORPHA:3258
APC	ORPHA:99818
APC	ORPHA:261584
ITGA8	ORPHA:1848
ITGA8	OMIM:191830
IKBKG	OMIM:308300
IKBKG	OMIM:301081
IKBKG	OMIM:300291
IKBKG	OMIM:300636
IKBKG	ORPHA:464
KIAA1549	OMIM:618613
KIAA1549	ORPHA:791
ELP1	ORPHA:1764
ELP1	OMIM:155255
ELP1	OMIM:223900
AIRE	ORPHA:3453
AIRE	OMIM:240300
RNF213	OMIM:607151
RNF213	ORPHA:2573
SLC26A9	ORPHA:586
BIRC3	ORPHA:52417
XIAP	OMIM:308240
XIAP	OMIM:300635
DGKE	OMIM:615008
ALS2	ORPHA:293168
ALS2	ORPHA:300605
ALS2	OMIM:606353
ALS2	ORPHA:247604
ALS2	OMIM:607225
ALS2	OMIM:205100
APOA1	OMIM:619836
APOA1	OMIM:618463
APOA1	ORPHA:425
APOA1	OMIM:105200
TRIM71	OMIM:618667
CHD8	OMIM:615032
APOA2	OMIM:143890
APOB	OMIM:144010
APOB	ORPHA:391665
APOB	OMIM:615558
ZSWIM6	OMIM:617865
ZSWIM6	OMIM:603671
ZSWIM6	ORPHA:1827
APOC2	OMIM:207750
APOC3	ORPHA:79506
APOC3	OMIM:614028
